price,lprice,square,rooms,floor,mfloor,station,metro,ametro,dmetro,link
22000000,16.90655301132259,72.0,4,2,5,метро Партизанская,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/315262916/
5200000,15.464169183551656,46.0,2,2,4,метро Комсомольская,60 минут на транспорте,0,60,https://fryazino.cian.ru/sale/flat/283997710/
22300000,16.920097236430347,77.3,3,5,5,метро Волгоградский проспект,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/312639643/
36950000,17.425076205358486,54.0,2,2,7,метро Площадь Революции,17 минут пешком,1,17,https://www.cian.ru/sale/flat/314248462/
15343288,16.54618867252612,35.7,1,18,30,метро Борисово,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/313034212/
14754790,16.507078333794322,43.9,1,17,24,метро Севастопольская,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/315541969/
44990000,17.621950800817356,83.0,3,10,27,метро Алексеевская,10 минут пешком,1,10,https://www.cian.ru/sale/flat/316428546/
14990000,16.522893870078782,46.1,2,5,12,метро Нагорная,20 минут пешком,1,20,https://www.cian.ru/sale/flat/314493205/
10050000,16.12308319246936,40.0,2,5,5,метро Кузьминки,20 минут пешком,1,20,https://www.cian.ru/sale/flat/314418977/
10522760,16.1690510882786,52.3,2,19,24,метро Бабушкинская,21 минута на транспорте,0,21,https://mytishchi.cian.ru/sale/flat/311955148/
13790000,16.439454249769483,54.0,2,15,16,метро Лианозово,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/316804866/
18900000,16.75467248002987,42.0,2,16,19,метро Ольховая,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/315221548/
20500000,16.835935444108635,32.3,1,5,14,метро Новокузнецкая,20 минут пешком,1,20,https://www.cian.ru/sale/flat/316270901/
23900000,16.98938901690174,82.0,3,12,17,метро Войковская,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/314223172/
18600000,16.73867213868343,62.7,3,7,12,метро Ботанический сад,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/297897525/
17500000,16.67771143889374,35.1,1,16,17,метро ВДНХ,8 минут на транспорте,0,8,https://www.cian.ru/sale/flat/307091345/
27700000,17.136942971157566,78.6,3,16,22,метро Университет дружбы народов,18 минут пешком,1,18,https://www.cian.ru/sale/flat/313591364/
